schemaname,tablename,indexname,indexdef
public,tournament_run_pairs,tournament_run_pairs_pkey,CREATE UNIQUE INDEX tournament_run_pairs_pkey ON public.tournament_run_pairs USING btree (id)
public,tournament_run_participants,tournament_run_participants_pkey,CREATE UNIQUE INDEX tournament_run_participants_pkey ON public.tournament_run_participants USING btree (id)
public,tournament_run_participants,tournament_run_participants_run_id_idx,CREATE INDEX tournament_run_participants_run_id_idx ON public.tournament_run_participants USING btree (run_id)
public,tournament_run_turns,tournament_run_turns_pkey,CREATE UNIQUE INDEX tournament_run_turns_pkey ON public.tournament_run_turns USING btree (id)
public,tournament_run_turns,tournament_run_turns_run_id_idx,CREATE INDEX tournament_run_turns_run_id_idx ON public.tournament_run_turns USING btree (run_id)
public,tournament_run_turns,tournament_run_turns_run_id_turn_number_key,"CREATE UNIQUE INDEX tournament_run_turns_run_id_turn_number_key ON public.tournament_run_turns USING btree (run_id, turn_number)"
public,tournament_runs,tournament_runs_pkey,CREATE UNIQUE INDEX tournament_runs_pkey ON public.tournament_runs USING btree (id)
public,tournament_runs,tournament_runs_tournament_id_idx,CREATE INDEX tournament_runs_tournament_id_idx ON public.tournament_runs USING btree (tournament_id)
public,tournaments,tournaments_circuit_id_idx,CREATE INDEX tournaments_circuit_id_idx ON public.tournaments USING btree (circuit_id)
public,tournaments,tournaments_pkey,CREATE UNIQUE INDEX tournaments_pkey ON public.tournaments USING btree (id)
public,tournaments,tournaments_start_at_idx,CREATE INDEX tournaments_start_at_idx ON public.tournaments USING btree (start_at)
public,users,users_phone_idx,CREATE INDEX users_phone_idx ON public.users USING btree (phone)
public,users,users_phone_key,CREATE UNIQUE INDEX users_phone_key ON public.users USING btree (phone)
public,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
realtime,messages,messages_inserted_at_topic_index,"CREATE INDEX messages_inserted_at_topic_index ON ONLY realtime.messages USING btree (inserted_at DESC, topic) WHERE ((extension = 'broadcast'::text) AND (private IS TRUE))"
realtime,messages,messages_pkey,"CREATE UNIQUE INDEX messages_pkey ON ONLY realtime.messages USING btree (id, inserted_at)"
realtime,schema_migrations,schema_migrations_pkey,CREATE UNIQUE INDEX schema_migrations_pkey ON realtime.schema_migrations USING btree (version)
realtime,subscription,ix_realtime_subscription_entity,CREATE INDEX ix_realtime_subscription_entity ON realtime.subscription USING btree (entity)
realtime,subscription,pk_subscription,CREATE UNIQUE INDEX pk_subscription ON realtime.subscription USING btree (id)
realtime,subscription,subscription_subscription_id_entity_filters_action_filter_selec,"CREATE UNIQUE INDEX subscription_subscription_id_entity_filters_action_filter_selec ON realtime.subscription USING btree (subscription_id, entity, filters, action_filter, COALESCE(selected_columns, '{}'::text[]))"
storage,buckets,bname,CREATE UNIQUE INDEX bname ON storage.buckets USING btree (name)
storage,buckets,buckets_pkey,CREATE UNIQUE INDEX buckets_pkey ON storage.buckets USING btree (id)
storage,buckets_analytics,buckets_analytics_pkey,CREATE UNIQUE INDEX buckets_analytics_pkey ON storage.buckets_analytics USING btree (id)
storage,buckets_analytics,buckets_analytics_unique_name_idx,CREATE UNIQUE INDEX buckets_analytics_unique_name_idx ON storage.buckets_analytics USING btree (name) WHERE (deleted_at IS NULL)
storage,buckets_vectors,buckets_vectors_pkey,CREATE UNIQUE INDEX buckets_vectors_pkey ON storage.buckets_vectors USING btree (id)
storage,migrations,migrations_name_key,CREATE UNIQUE INDEX migrations_name_key ON storage.migrations USING btree (name)
storage,migrations,migrations_pkey,CREATE UNIQUE INDEX migrations_pkey ON storage.migrations USING btree (id)
storage,objects,bucketid_objname,"CREATE UNIQUE INDEX bucketid_objname ON storage.objects USING btree (bucket_id, name)"
storage,objects,idx_objects_bucket_id_name,"CREATE INDEX idx_objects_bucket_id_name ON storage.objects USING btree (bucket_id, name COLLATE ""C"")"
storage,objects,idx_objects_bucket_id_name_lower,"CREATE INDEX idx_objects_bucket_id_name_lower ON storage.objects USING btree (bucket_id, lower(name) COLLATE ""C"")"
storage,objects,idx_objects_current_version,"CREATE UNIQUE INDEX idx_objects_current_version ON storage.objects USING btree (bucket_id, name COLLATE ""C"") WHERE (archived_at IS NULL)"
storage,objects,idx_objects_null_version,"CREATE UNIQUE INDEX idx_objects_null_version ON storage.objects USING btree (bucket_id, name COLLATE ""C"") WHERE (NOT is_versioned)"
storage,objects,name_prefix_search,CREATE INDEX name_prefix_search ON storage.objects USING btree (name text_pattern_ops)
storage,objects,objects_bucket_id_name_version_key,"CREATE UNIQUE INDEX objects_bucket_id_name_version_key ON storage.objects USING btree (bucket_id, name COLLATE ""C"", version) NULLS NOT DISTINCT"
storage,objects,objects_pkey,CREATE UNIQUE INDEX objects_pkey ON storage.objects USING btree (id)
storage,s3_multipart_uploads,idx_multipart_uploads_list,"CREATE INDEX idx_multipart_uploads_list ON storage.s3_multipart_uploads USING btree (bucket_id, key, created_at)"
storage,s3_multipart_uploads,s3_multipart_uploads_pkey,CREATE UNIQUE INDEX s3_multipart_uploads_pkey ON storage.s3_multipart_uploads USING btree (id)
storage,s3_multipart_uploads_parts,s3_multipart_uploads_parts_pkey,CREATE UNIQUE INDEX s3_multipart_uploads_parts_pkey ON storage.s3_multipart_uploads_parts USING btree (id)
storage,vector_indexes,vector_indexes_name_bucket_id_idx,"CREATE UNIQUE INDEX vector_indexes_name_bucket_id_idx ON storage.vector_indexes USING btree (name, bucket_id)"
storage,vector_indexes,vector_indexes_pkey,CREATE UNIQUE INDEX vector_indexes_pkey ON storage.vector_indexes USING btree (id)
vault,secrets,secrets_name_idx,CREATE UNIQUE INDEX secrets_name_idx ON vault.secrets USING btree (name) WHERE (name IS NOT NULL)
vault,secrets,secrets_pkey,CREATE UNIQUE INDEX secrets_pkey ON vault.secrets USING btree (id)
